total_dist,euclid_dist,long_trip,longest_strt,shortest_strt,max_strt_spd,min_strt_spd
130.856411806,62.7293392281,0,0,0,0,0
67.9406366822,4.40113621693,0,0,0,0,0
2794.30072989,1860.10307241,1,637.186731674,65.1682818806,1.67119229191,-2.19837880626
170.833137385,103.65138687,0,62.6237515871,62.6237515871,0,-1.37261293534
1899.41285291,1432.68546792,1,390.725953322,390.725953322,0.580678530423,-1.95598607548
1224.92069999,265.79951091,0,333.319919649,127.567733962,6.24344523135,-1.35319920583
1479.96583475,1073.07244863,0,603.991918717,107.199263692,0.748218635852,-20.6716522867
1498.95063894,903.654386367,0,522.383040721,250.510490154,5.65491337675,-3.40574184907
822.841888448,621.128392524,0,420.998397147,72.8013181749,14.0038033918,-1.16820971893
2003.98012057,1453.98650957,1,592.646711815,63.8479289834,4.21380872048,-15.3264268956
3090.93982086,1306.51858004,1,856.962378439,284.773143733,5.22532004703,-13.4394577028
2986.89013755,1293.8436768,1,1195.64032244,136.276645164,2.4642030663,-3.12549502773
804.773637019,449.95094177,0,430.139403819,75.7186740065,1.21575243941,-1.31084349765
7984.49553323,4567.95265847,1,1275.87515557,255.332389821,3.77008196462,-3.32942042076
709.07301465,456.003267532,0,416.30295328,66.6883560818,6.97605042948,-1.09466137375
6479.94636082,6197.21509228,1,5353.68118718,127.605550452,0.633610065907,-2.72161929514
1297.93202788,980.989908205,0,307.68007813,307.68007813,8.70449298401,-12.283795256
2025.34017223,1468.66569375,1,559.581614267,559.581614267,3.21275075667,-3.92464075501
737.766865088,449.708461117,0,144.278944049,144.278944049,18.7116707869,-27.3310235366
1851.24642855,1659.58483965,1,807.711527865,438.081860673,0.664164182385,-4.27138606047
2759.49870056,1789.5766762,1,677.786835675,129.203420988,3.33027870705,-2.06835393714
1992.75050005,1449.40930382,1,571.935866894,110.845114728,22.5800157451,-3.73971049767
1580.68218228,1191.09657879,0,689.438538556,353.751639456,3.79364996221,-1.50388433906
1988.28390598,1460.11850546,1,535.581141965,535.581141965,7.26877503109,-2.19999986075
1511.31088228,1230.78638683,0,577.141757382,129.87395467,0,-1.32631423126
2843.12025266,1479.43684556,1,624.341701297,465.201415925,17.7103220349,-2.79902197786
3488.99865318,3241.55126598,1,2517.28112386,114.945235833,5.21180979152,-1.76401604535
23.2062849472,2.99666481275,0,0,0,0,0
912.408951231,606.985354024,0,308.603532656,141.864043505,0.983972216957,-3.84830393028
2793.60962992,1742.16508977,1,654.101639793,88.791670699,3.12697826454,-1.99866529592
5319.44868232,3460.3811712,1,807.882371526,133.157913918,13.2087450565,-43.404844943
1189.91855045,320.290118486,0,332.644550051,261.560247073,23.2671910517,-10.1898953892
626.365459108,391.109920611,0,324.598600716,63.5590827036,3.66196951358,-2.69785897453
2837.81658336,1633.53283407,1,652.532587296,652.532587296,408.173933636,-28.1529341851
14675.0219058,9127.72202743,1,2096.04309976,2096.04309976,2.63811030273,-7.99265553437
895.645630024,430.712827763,0,181.904251806,71.3631775139,0.513714871568,-4.40540030482
659.213965695,544.909864106,0,555.65547272,555.65547272,0,-1.1098559848
1559.25794346,620.437603632,0,527.665471445,62.750489883,0.711057656861,-2.19742954507
440.59094059,242.764597913,0,132.109158467,132.109158467,3.30307224409,-1.99834881475
9021.87297263,8148.04952182,1,3917.32916203,58.2032704667,6.13257562237,-6.91450677183
2711.44753705,2420.56351497,1,830.580871146,69.5940228616,0.679589461537,-6.19838892036
2542.71945338,1513.0365792,1,1462.13215221,60.0161093122,8.80398953475,-1.49615427055
1362.10856062,761.880285872,0,211.557782382,68.1430767985,0.345452508618,-1.69847100949
3934.47395027,2495.31674342,1,598.23834341,208.634248931,1.73605917967,-5.31102184683
3229.86322062,1471.77759189,1,616.616222144,59.6818501942,6.29274555231,-2.17372977196
892.799000407,362.456355993,0,249.977995373,51.0583413334,0.542790833065,-5.07621879601
1428.72451662,771.802060116,0,332.698563545,302.430870727,1.90724936255,-5.39232268028
2487.96265013,1317.05882177,1,633.127681057,74.8108296626,2.75699511874,-4.68398530948
913.741527248,449.578524843,0,333.526179143,289.86171804,1.2551026345,-1.667196904
17262.0208564,15195.7856822,1,7192.74915005,108.941648075,4.40761559594,-1.12402571799
8963.64596714,7400.44995186,1,5886.74207938,241.208106395,5.36737264958,-2.43053645567
1278.94589226,1073.56032434,0,558.734604285,297.880214853,1.07084400684,-1.78499419548
1160.94315967,543.119112166,0,443.900500454,443.900500454,0.622503041642,-4.2693887648
2941.31770565,1411.94768317,1,643.67476363,217.1744333,6.82389838795,-4.69758012897
6114.09863091,5935.29717622,1,5338.1318395,79.1704925279,0.493933593729,-3.61471264591
651.914635408,321.476671004,0,124.980554901,110.742318291,1.71482477655,-4.141088932
1976.08515737,1468.38177937,1,543.566625597,543.566625597,4.77252137957,-2.30153776852
1035.17320169,775.758164636,0,480.46999145,480.46999145,1.07233385685,-1.68284948896
628.54672703,461.488136359,0,405.175320925,405.175320925,0,-15.4388023047
761.498649746,430.293632302,0,200.272709067,109.394632564,2995.11377491,-3.85265181074
1522.53776677,1064.33563315,0,936.740818942,115.044126788,1.57690014146,-1.22012637055
1468.82976261,1092.86231521,0,592.049109557,106.340516002,0.403313806978,-12.0942764067
2999.21209609,1406.83108439,1,674.900944651,624.254270781,3.26563654567,-17.2402477241
820.538145291,57.9187361741,0,214.78850813,81.2107047784,1.17833085385,-2.4013290272
12247.3178977,8289.88434781,1,5476.39735478,61.2006910755,1.5192801142,-3.81077703185
4937.00623386,3870.81143948,1,1071.47059763,209.826566749,8.42580976258,-54.834158265
728.446456989,495.620600863,0,267.528972796,267.528972796,1.51414880144,-1.48191710534
4541.92962814,1447.5156994,1,900.763473146,62.7834234144,8.92427685216,-44.1641993787
867.925303964,500.166772187,0,293.627206247,60.7159104262,105.937790166,-22.3556380356
2494.22883876,1871.90853676,1,683.961930286,122.37362604,8.98064491726,-1.89819281155
1039.60974767,235.669705308,0,401.985527437,309.008161462,0,-12.5780198793
1588.87814652,1222.02347359,0,577.543594557,577.543594557,0.58176823015,-5.65269666165
575.284845798,326.857430694,0,137.250185991,108.463013188,14.6215803098,-1.64864719949
1786.85688954,1356.67433454,0,597.777354897,340.790446644,0.312048659728,-5.65585716846
910.843658826,765.308728553,0,576.588907546,98.4508217624,9.33255837993,-1.09495072776
2025.25890205,1421.17464092,1,585.533978146,134.401116146,1.13220777727,-5.02457727319
8532.80154844,7948.0043187,1,5656.86467638,92.068913007,1.77575536012,-16.3837261843
4866.94438748,3720.5174546,1,783.785400546,265.517113493,7.08368907093,-8.8354005884
6927.04347964,4885.3144689,1,833.2156402,79.1155257309,39.0657452752,-6.70744465002
1269.17198279,944.501413445,0,476.307748084,83.7478748487,7.72286855449,-26.7670647498
5589.46930204,1233.9455458,1,980.209166334,980.209166334,1.48015988866,-4.54761382729
2453.45488325,639.630463627,1,849.706532913,416.445993298,9.33752785271,-4.04809448149
135.451331551,3.76430604494,0,0,0,0,0
2375.43714516,2038.76566824,1,1378.93362668,194.821784278,0.602031514581,-9.35663253831
44.1774993427,6.76239602508,0,0,0,0,0
5944.66307414,4470.96521123,1,1810.76111938,140.539586828,16.6114330313,-63.9969621664
1747.48700337,277.978650259,0,536.25151978,50.9020443555,0.225132705028,-2.19828323569
2256.73694504,847.309955093,1,1252.70911244,307.014914046,0.945771490176,-5.58057609229
3127.54625752,2598.32774299,1,986.902570187,234.96060666,26.7085730887,-9.0506593216
2856.96106592,2123.10256464,1,2043.72272702,317.785316105,2.16655420305,-3.12211356476
3211.47211425,2973.14073162,1,1189.9474096,408.460189376,0.468857393321,-1.42092785183
14774.8846886,418.083723673,1,2034.50187261,636.510863942,5.77878494983,-862.937576659
3099.96989807,2810.85129632,1,1431.74244533,127.872391924,0.875580876628,-1.78763040236
1605.68348793,1174.52718146,0,583.007398085,583.007398085,0.388443696337,-235.981104319
342.244930522,235.833542992,0,157.980921588,63.0108417841,3.50271207957,-3.43579284913
1320.41344556,1045.8264531,0,595.573378218,101.385800221,1.32332910236,-1.40493318822
1565.40370115,762.939276745,0,594.766145706,82.2909105029,0.330872147332,-1.42709803048
1993.58784889,592.954340569,1,430.981280683,411.82782161,2.12591360838,-4.64157045354
1228.93444786,439.887451515,0,343.347302425,297.641460007,3.3124782129,0.106920679351
933.556621836,389.165774446,0,386.849162122,386.849162122,0,-1.44427990387
471.559381469,288.273481264,0,217.341660518,217.341660518,1.70380036676,-5.98050990021
666.901034733,183.938060227,0,170.210200347,170.210200347,0.584883870469,-7.21035246116
4823.55190303,4347.10170113,1,2927.33709724,500.896722328,13.8105606537,-2.25734169065
2580.05089435,1254.83087705,1,631.456277962,57.840825593,10.718096334,-3.87700842662
1842.7626717,753.206917122,1,212.479806778,92.7370624561,2.2719893104,-7.20763905869
1704.14178689,1344.80577036,0,584.153690386,140.183451614,0.564815680669,-15.2647890469
4785.60927155,4642.88878286,1,3949.89621861,456.18740468,3.42515201928,-2.16010706401
764.270718905,388.80973496,0,336.405313446,336.405313446,1.95887962063,-1.27713943597
8968.30769602,7876.62878648,1,6088.07914092,337.481684859,37.5480263598,-4.76957116521
469.561843013,333.755749014,0,167.101774909,66.6686104421,0,-5.26250378813
1267.24884989,1061.17917903,0,557.563480373,557.563480373,0.812803740401,-1.477741923
406.99879614,130.568985598,0,81.5709910063,76.6926621313,249.538602111,-2.23048347233
731.593867053,570.598326321,0,303.174739285,108.896520603,0,-2.42550022006
1546.50410937,634.753975962,0,550.024679061,56.7635289772,0.656728146204,-2.52440937431
2780.83481797,1922.50245774,1,608.794171047,239.716740456,6.10226196196,-11.4114552247
6413.0950308,4303.79530763,1,1257.11813811,183.028308882,64.9749039594,-102.831976559
2689.24701502,1821.51420527,1,653.59854598,653.59854598,2.24498296948,-2.06014908933
708.69666343,390.653324573,0,268.097261141,163.284565186,1.1361658224,-1.84770724846
139.095542431,100.227840444,0,69.5640304188,69.5640304188,0.814224158277,0.814224158277
1757.86879883,1277.915811,0,512.504184001,78.0032300402,1.71830914346,-11.1381790392
1510.81324672,669.679699558,0,550.381450328,506.977044282,0,-3.50442235271
2036.32944428,1854.05499649,1,750.904298664,750.904298664,1.60832928037,-11.0785008599
2281.21526313,1216.38696557,1,831.625752084,112.996140808,112.561743453,-17.8851517325
1766.2572631,1361.01262301,0,485.653802787,312.967184011,4.19060143568,-2.0594392536
1175.30592556,883.927168945,0,308.357612266,101.923085287,0.813086926644,-10.8109176705
1314.38776695,837.585589656,0,434.617456776,254.72138764,1.10764230413,-24.9878223268
1629.6984647,544.920957571,0,598.637043011,598.637043011,0,-1.30810442938
4309.57743313,3014.01511111,1,1186.31711403,227.924250468,25.7667871808,-1.52966599145
