time,avg_speed,max_speed,min_speed,time_fast,time_slow,percent_fast,percent_slow,stops,percent_stop,avg_acc,max_acc,min_acc,avg_dec,max_dec,min_dec
253,3.7684,10.9,0,0,142,0,0.56126,86,0.33992,0.21961,1.447,0,0.24251,2.3055,0
674,5.1705,12.657,0,0,269,0,0.39911,180,0.26706,0.20171,1.7235,0,0.20684,6.3781,0
1435,7.2955,37.214,0,2,385,0.0013937,0.26829,204,0.14216,0.20505,8.676,0,0.24244,32.885,0
815,2.0699,16.125,0,0,650,0,0.79755,533,0.65399,0.13588,3.0771,0,0.14111,2.2375,0
333,3.0278,10.984,0,0,224,0,0.67267,164,0.49249,0.15812,2.0314,0,0.16348,1.9554,0
1564,14.268,22.761,0,0,206,0,0.13171,167,0.10678,0.14329,2.2271,0,0.14841,2.2554,0
471,4.9571,14.454,0,0,189,0,0.40127,124,0.26327,0.20675,2.4304,0,0.21901,2.6072,0
302,4.6151,13.171,0,0,154,0,0.50993,110,0.36424,0.18072,1.8019,0,0.19887,1.8774,0
268,5.5898,13.203,0,0,114,0,0.42537,68,0.25373,0.22656,1.6271,0,0.25916,2.3049,0
582,2.7638,17.765,0,0,503,0,0.86426,244,0.41924,0.1192,1.7564,0,0.11839,2.6868,0
1148,3.0208,359.2,0,1,810,0.00087108,0.70557,497,0.43293,0.33907,175.3,0,0.34131,173.53,0
1725,4.8558,15.381,0,0,840,0,0.48696,509,0.29507,0.19864,3.4311,0,0.20591,2.3124,0
789,6.1183,35.523,0,1,290,0.0012674,0.36755,134,0.16984,0.22162,13.927,0,0.22757,13.015,0
295,3.7172,13.934,0,0,173,0,0.58644,115,0.38983,0.17482,1.7638,0,0.19455,3.3969,0
1427,2.282,15.205,0,0,1058,0,0.74142,820,0.57463,0.12299,1.7627,0,0.12422,2.0509,0
826,1.5681,11.026,0,0,680,0,0.82324,540,0.65375,0.099,1.8286,0,0.10341,1.7005,0
215,3.7863,10.72,0,0,121,0,0.56279,80,0.37209,0.15859,2.0919,0,0.16651,1.523,0
389,4.0925,14.168,0,0,212,0,0.54499,148,0.38046,0.20306,1.6737,0,0.21457,2.2471,0
907,4.745,12.448,0,0,384,0,0.42337,246,0.27122,0.17414,2.9829,0,0.17458,1.9264,0
323,5.2137,13.607,0,0,146,0,0.45201,92,0.28483,0.19094,2.3005,0,0.19004,2.2521,0
1695,2.4022,12.832,0,0,1233,0,0.72743,1027,0.6059,0.11622,1.9024,0,0.11754,4.5891,0
248,2.9535,9.4831,0,0,166,0,0.66935,71,0.28629,0.17668,1.2923,0,0.20575,1.7921,0
884,5.0506,15.504,0,0,322,0,0.36425,179,0.20249,0.17475,4.3718,0,0.17632,3.4103,0
289,4.0303,14.313,0,0,172,0,0.59516,132,0.45675,0.18215,2.1755,0,0.22029,2.3712,0
409,6.8859,106.19,0,2,164,0.00489,0.40098,119,0.29095,0.36396,50.532,0,0.3643,49.723,0
1524,1.953,13.926,0,0,1246,0,0.81759,842,0.55249,0.12754,2.1487,0,0.1292,2.8676,0
612,5.0881,12.956,0,0,239,0,0.39052,159,0.2598,0.17444,1.7436,0,0.19418,1.7472,0
