time,avg_speed,max_speed,min_speed,time_fast,time_slow,percent_fast,percent_slow,stops,percent_stop,avg_acc,max_acc,min_acc,avg_dec,max_dec,min_dec
894,17.167,23.38,0,0,81,0,0.090604,58,0.064877,0.11359,5.5836,0,0.11106,2.0048,0
1616,3.1303,18.414,0,0,1178,0,0.72896,702,0.43441,0.12587,2.1213,0,0.12629,2.1912,0
1362,11.335,21.628,0,0,239,0,0.17548,150,0.11013,0.21261,2.0157,0,0.21823,3.0715,0
1721,14.723,50.384,0,100,309,0.058106,0.17955,222,0.12899,0.23521,12.934,0,0.23673,12.42,0
1089,13.121,24.34,0,0,143,0,0.13131,94,0.086318,0.16532,1.463,0,0.16897,2.1523,0
968,5.9125,18.968,0,0,530,0,0.54752,417,0.43079,0.10339,1.4512,0,0.11499,3.42,0
350,8.9609,17.618,0,0,112,0,0.32,43,0.12286,0.21413,1.8117,0,0.22368,3.8272,0
1081,14.827,23.065,0,0,161,0,0.14894,102,0.094357,0.12083,1.9721,0,0.12102,2.1029,0
835,0.22779,3.7696,0,0,835,0,1,702,0.84072,0.034863,0.95948,0,0.035162,0.78459,0
966,0.33681,4.3417,0,0,965,0,0.99896,831,0.86025,0.034926,1.0793,0,0.036864,0.93428,0
935,14.245,22.848,0,0,63,0,0.06738,53,0.056684,0.18026,2.135,0,0.1834,2.445,0
1342,13.907,23.454,0,0,163,0,0.12146,77,0.057377,0.1334,2.265,0,0.13798,1.9476,0
250,2.3318,11.201,0,0,191,0,0.764,107,0.428,0.15725,1.3151,0,0.16694,1.684,0
1200,0.26896,5.5218,0,0,1193,0,0.99417,1053,0.8775,0.038842,1.3786,0,0.039623,1.0664,0
1204,0.98232,6.8964,0,0,1189,0,0.98754,438,0.36379,0.15796,2.4401,0,0.15908,1.9455,0
607,2.7953,11.528,0,0,439,0,0.72323,379,0.62438,0.059306,1.3506,0,0.074862,1.7114,0
1296,11.103,20.026,0,0,136,0,0.10494,61,0.047068,0.17102,2.0864,0,0.17764,2.1762,0
776,1.4483,12.51,0,0,665,0,0.85696,583,0.75129,0.061049,1.153,0,0.061114,1.5439,0
570,5.8995,15.984,0,0,255,0,0.44737,115,0.20175,0.25066,1.9952,0,0.25079,2.6096,0
1016,1.1597,11.111,0,0,902,0,0.8878,798,0.78543,0.059268,1.2499,0,0.059477,1.5656,0
1506,11.423,17.9,0,0,226,0,0.15007,124,0.082337,0.18422,1.7595,0,0.18422,2.4101,0
209,1.4739,5.6356,0,0,180,0,0.86124,93,0.44498,0.11116,1.2422,0,0.13875,1.3135,0
793,10.037,29.062,0,1,180,0.001261,0.22699,100,0.1261,0.21492,8.061,0,0.21602,7.2763,0
775,10.21,19.387,0,0,224,0,0.28903,176,0.2271,0.17125,1.683,0,0.17125,4.4441,0
1481,14.229,18.857,0,0,103,0,0.069548,66,0.044564,0.1251,1.3408,0,0.13218,2.4186,0
991,14.61,28.84,0,66,97,0.066599,0.097881,45,0.045409,0.23073,1.7978,0,0.23382,2.2009,0
1750,12.458,19.361,0,0,262,0,0.14971,208,0.11886,0.12101,1.8761,0,0.12088,2.6752,0
1217,10.871,27.605,0,19,343,0.015612,0.28184,181,0.14873,0.15771,1.3724,0,0.1664,2.4669,0
1633,1.4114,12.233,0,0,1468,0,0.89896,896,0.54868,0.090908,1.5041,0,0.090865,2.1848,0
1360,15.489,21.416,0,0,80,0,0.058824,46,0.033824,0.12856,1.7845,0,0.14114,3.1585,0
744,19.42,25.821,0,18,59,0.024194,0.079301,48,0.064516,0.087636,1.6914,0,0.11236,2.3953,0
1028,17.308,23.491,0,0,125,0,0.1216,67,0.065175,0.10165,11.54,0,0.1009,1.5171,0
308,9.7917,20.501,0,0,90,0,0.29221,62,0.2013,0.17125,2.1199,0,0.18804,2.486,0
1336,11.247,21.455,0,0,235,0,0.1759,146,0.10928,0.16573,1.8155,0,0.16665,2.6201,0
1699,0.24628,4.6487,0,0,1689,0,0.99411,1485,0.87404,0.043971,2.0427,0,0.046553,1.6155,0
1675,12.933,24.197,0,0,383,0,0.22866,303,0.1809,0.13944,2.0113,0,0.13956,2.9604,0
1661,12.985,93.113,0,5,241,0.0030102,0.14509,178,0.10716,0.18691,41.195,0,0.18892,36.401,0
