time,avg_speed,max_speed,min_speed,time_fast,time_slow,percent_fast,percent_slow,stops,percent_stop,avg_acc,max_acc,min_acc,avg_dec,max_dec,min_dec
317,0.48711,3.544,0,0,317,0,1,215,0.67823,0.1106,1.7557,0,0.1106,1.7393,0
648,10.925,27.445,0,168,223,0.25926,0.34414,168,0.25926,0.24836,2.9278,0,0.25078,2.9758,0
597,8.4606,26.942,0,112,283,0.1876,0.47404,162,0.27136,0.21245,4.5036,0,0.21349,2.3106,0
515,12.39,30.736,0,106,92,0.20583,0.17864,59,0.11456,0.24306,2.3559,0,0.26439,2.7316,0
377,6.6799,16.832,0,0,160,0,0.4244,83,0.22016,0.20289,2.1184,0,0.20289,2.9343,0
418,15.647,26.773,0,148,18,0.35407,0.043062,3,0.007177,0.34046,6.3124,0,0.37638,6.3348,0
397,4.2262,13.952,0,0,223,0,0.56171,93,0.23426,0.21148,2.0682,0,0.21598,1.8597,0
951,3.7627,26.687,0,1,642,0.0010515,0.67508,494,0.51945,0.15359,6.8714,0,0.16703,6.2634,0
325,12.552,42.95,0,109,81,0.33538,0.24923,46,0.14154,0.30854,11.596,0,0.30649,9.202,0
1033,8.274,26.66,0,143,450,0.13843,0.43562,334,0.32333,0.21725,4.953,0,0.21893,3.2385,0
395,15.382,30.577,0,164,62,0.41519,0.15696,16,0.040506,0.32418,8.8869,0,0.34104,2.8593,0
1039,7.1266,29.984,0,141,554,0.13571,0.53321,445,0.4283,0.22207,9.7565,0,0.22214,9.6738,0
442,14.231,68.174,0,141,86,0.319,0.19457,48,0.1086,0.57396,21.817,0,0.74975,46.45,0
359,11.945,26.35,0,69,64,0.1922,0.17827,19,0.052925,0.22824,2.8958,0,0.23679,1.639,0
416,13.494,20.583,0,7,47,0.016827,0.11298,23,0.055288,0.20882,2.7647,0,0.23344,2.5869,0
861,12.948,30.654,0,176,113,0.20441,0.13124,84,0.097561,0.2171,4.1722,0,0.21646,2.8732,0
335,13.413,22.111,0,27,34,0.080597,0.10149,5,0.014925,0.25663,2.5945,0,0.30664,2.6625,0
334,8.0289,17.493,0,0,61,0,0.18263,11,0.032934,0.32545,2.143,0,0.35787,9.067,0
1526,10.964,28.653,0,114,242,0.074705,0.15858,153,0.10026,0.23953,3.8879,0,0.23995,3.1478,0
690,9.7796,26.619,0,129,228,0.18696,0.33043,138,0.2,0.25745,4.842,0,0.2763,3.923,0
911,8.0786,57.807,0,71,334,0.077936,0.36663,205,0.22503,0.27844,18.893,0,0.28834,21.804,0
626,11.865,26.055,0,150,133,0.23962,0.21246,70,0.11182,0.26267,2.6575,0,0.26363,3.7487,0
170,4.3583,12.999,0,0,86,0,0.50588,57,0.33529,0.24222,2.0881,0,0.29168,2.2718,0
554,15.063,578.83,0,141,165,0.25451,0.29783,89,0.16065,1.9413,282.04,0,1.9443,278.9,0
1322,12.666,46.209,0,516,476,0.39032,0.36006,359,0.27156,0.18219,11.654,0,0.18219,11.7,0
546,13.76,28.961,0,117,70,0.21429,0.12821,51,0.093407,0.2806,2.8914,0,0.28392,2.9261,0
459,14.165,64.874,0,131,95,0.2854,0.20697,38,0.082789,1.0211,31.092,0,1.0683,26.769,0
1227,11.892,22.584,0,215,328,0.17522,0.26732,261,0.21271,0.12348,1.7697,0,0.13452,2.2795,0
600,12.06,30.01,0,111,115,0.185,0.19167,69,0.115,0.27463,2.8021,0,0.27463,3.1558,0
374,0.089296,1.1705,0,0,374,0,1,360,0.96257,0.034334,0.58523,0,0.034436,0.58523,0
1128,0.29708,3.4828,0,0,1128,0,1,915,0.81117,0.086382,1.1393,0,0.08656,1.1673,0
195,5.5062,15.532,0,0,99,0,0.50769,68,0.34872,0.27116,2.9476,0,0.30886,3.3334,0
783,9.3441,26.347,0,121,279,0.15453,0.35632,159,0.20307,0.21988,2.5598,0,0.21988,2.6878,0
797,10.903,46.698,0,66,99,0.082811,0.12422,38,0.047679,0.29156,11.759,0,0.29961,15.837,0
634,10.942,27.019,0,168,206,0.26498,0.32492,144,0.22713,0.26175,2.5415,0,0.26227,3.5399,0
524,13.308,27.68,0,107,75,0.2042,0.14313,29,0.055344,0.25114,3.2352,0,0.27344,4.4283,0
337,8.8702,17.113,0,0,100,0,0.29674,67,0.19881,0.19537,2.377,0,0.22826,2.4499,0
947,3.0191,18.134,0,0,708,0,0.74762,542,0.57233,0.14278,2.9923,0,0.15675,3.3757,0
670,10.96,27.385,0,103,185,0.15373,0.27612,106,0.15821,0.23615,2.8775,0,0.23636,2.2979,0
476,14.256,26.601,0,163,77,0.34244,0.16176,46,0.096639,0.2649,2.6188,0,0.27106,3.628,0
325,11.601,49.016,0,69,68,0.21231,0.20923,52,0.16,0.26074,12.201,0,0.28051,16.525,0
555,10.663,30.268,0,62,88,0.11171,0.15856,54,0.097297,0.2537,8.9846,0,0.26791,3.9247,0
1259,1.6273,15.408,0,0,1082,0,0.85941,941,0.74742,0.1009,3.0145,0,0.10347,2.6344,0
392,7.7204,18.337,0,0,124,0,0.31633,36,0.091837,0.24086,2.3573,0,0.26961,2.9599,0
305,11.956,47.178,0,72,65,0.23607,0.21311,46,0.15082,0.24225,11.563,0,0.28314,13.283,0
669,4.7006,17.75,0,0,399,0,0.59641,304,0.45441,0.18403,4.1311,0,0.207,2.7992,0
551,12.811,22.994,0,98,126,0.17786,0.22868,90,0.16334,0.21151,4.4319,0,0.24521,4.6002,0
1025,7.6249,34.298,0,162,559,0.15805,0.54537,276,0.26927,0.24769,17.008,0,0.2478,15.978,0
658,7.1261,16.815,0,0,176,0,0.26748,142,0.21581,0.19634,3.6718,0,0.21586,2.257,0
855,5.0079,21.813,0,21,494,0.024561,0.57778,416,0.48655,0.12882,2.0351,0,0.12882,2.8389,0
721,10.131,28.583,0,158,265,0.21914,0.36755,225,0.31207,0.20621,2.5636,0,0.20804,2.4504,0
1345,6.151,26.038,0,154,825,0.1145,0.61338,458,0.34052,0.27747,8.2201,0,0.2797,11.142,0
773,3.0281,11.807,0,0,509,0,0.65847,265,0.34282,0.19102,2.3882,0,0.19143,2.2354,0
1520,13.395,29.169,0,516,356,0.33947,0.23421,197,0.12961,0.21822,3.5515,0,0.21927,3.5514,0
772,15.385,32.62,0,327,184,0.42358,0.23834,141,0.18264,0.1689,7.4567,0,0.1834,6.1632,0
596,12.613,27.83,0,104,94,0.1745,0.15772,53,0.088926,0.24459,4.0678,0,0.24595,2.8628,0
757,12.175,25.962,0,42,66,0.055482,0.087186,17,0.022457,0.25336,2.6524,0,0.2599,2.9911,0
294,3.9969,14.174,0,0,188,0,0.63946,113,0.38435,0.24888,2.8875,0,0.26752,2.4869,0
377,5.9061,19.948,0,0,165,0,0.43767,96,0.25464,0.2457,5.0092,0,0.25822,5.6538,0
1254,8.2276,24.197,0,89,496,0.070973,0.39553,296,0.23604,0.21867,3.6599,0,0.22038,3.2953,0
575,12.702,27.388,0,166,108,0.2887,0.18783,61,0.10609,0.29505,7.7387,0,0.29811,4.8757,0
1617,13.593,27.925,0,393,340,0.24304,0.21027,126,0.077922,0.21786,3.5315,0,0.22421,3.6303,0
1097,6.707,26.724,0,168,631,0.15314,0.57521,557,0.50775,0.15486,3.2125,0,0.15486,2.7881,0
1036,11.76,23.795,0,94,203,0.090734,0.19595,147,0.14189,0.21776,2.2794,0,0.23207,2.6215,0
524,13.134,27.648,0,119,79,0.2271,0.15076,35,0.066794,0.29543,3.7853,0,0.32134,3.5535,0
1096,0.1517,1.2207,0,0,1096,0,1,993,0.90602,0.056363,0.58523,0,0.056261,0.61033,0
577,11.38,27.75,0,71,99,0.12305,0.17158,26,0.045061,0.28083,6.8305,0,0.28154,3.7319,0
951,7.8943,44.041,0,170,473,0.17876,0.49737,356,0.37434,0.22629,13.74,0,0.23336,13.311,0
1070,7.0534,70.617,0,171,611,0.15981,0.57103,416,0.38879,0.25671,23.758,0,0.25659,23.647,0
1538,14.508,27.528,0,549,225,0.35696,0.14629,127,0.082575,0.20839,3.7721,0,0.21318,2.7447,0
697,10,27.86,0,185,287,0.26542,0.41176,229,0.32855,0.23375,3.7749,0,0.23375,3.3177,0
704,10.421,29.861,0,161,238,0.22869,0.33807,187,0.26562,0.24926,3.6061,0,0.24919,3.0194,0
503,13.859,27.171,0,125,42,0.24851,0.083499,17,0.033797,0.29336,3.0826,0,0.29368,3.1209,0
1120,8.9806,37.753,0,152,429,0.13571,0.38304,152,0.13571,0.73475,15.713,0,0.73362,14.023,0
1762,6.7883,22.279,0,31,881,0.017594,0.5,481,0.27299,0.21036,2.6054,0,0.2168,3.6035,0
