time,avg_speed,max_speed,min_speed,time_fast,time_slow,percent_fast,percent_slow,stops,percent_stop,avg_acc,max_acc,min_acc,avg_dec,max_dec,min_dec
1375,5.5821,34.509,0,2,613,0.0014545,0.44582,394,0.28655,0.19722,10.497,0,0.2034,10.917,0
198,4.0967,20.164,0,1,122,0.0050505,0.61616,44,0.22222,0.3103,7.336,0,0.31821,4.7977,0
904,6.1599,35.662,0,3,311,0.0033186,0.34403,133,0.14712,0.31967,8.4752,0,0.32949,9.7185,0
278,8.151,17.584,0,0,87,0,0.31295,55,0.19784,0.20141,1.7169,0,0.20965,2.1096,0
519,6.9374,35.405,0,1,166,0.0019268,0.31985,114,0.21965,0.21081,13.922,0,0.22407,15.75,0
477,15.415,29.915,0,196,118,0.4109,0.24738,71,0.14885,0.28005,2.6484,0,0.28034,4.1059,0
669,9.0625,27.016,0,93,258,0.13901,0.38565,184,0.27504,0.25518,4.7084,0,0.26919,4.2315,0
301,4.8895,14.591,0,0,158,0,0.52492,80,0.26578,0.18297,1.5517,0,0.18274,2.0724,0
1707,12.363,62.635,0,491,494,0.28764,0.2894,244,0.14294,0.34978,21.483,0,0.3516,26.551,0
292,8.7574,35.39,0,2,79,0.0068493,0.27055,40,0.13699,0.35056,13.21,0,0.35443,11.143,0
613,13.749,25.173,0,167,164,0.27243,0.26754,140,0.22838,0.18591,3.191,0,0.20721,3.9348,0
488,6.8962,19.912,0,0,195,0,0.39959,104,0.21311,0.22876,2.9463,0,0.22875,2.3646,0
449,8.1707,24.542,0,10,98,0.022272,0.21826,22,0.048998,0.29024,9.1204,0,0.29706,8.9466,0
635,3.4949,33.908,0,1,442,0.0015748,0.69606,196,0.30866,0.28638,16.854,0,0.28842,16.954,0
1121,13.634,34.494,0,417,423,0.37199,0.37734,284,0.25335,0.27421,12.675,0,0.27182,7.6904,0
412,9.9775,24.575,0,76,176,0.18447,0.42718,92,0.2233,0.29755,4.075,0,0.29755,4.5656,0
367,4.3745,19.211,0,0,229,0,0.62398,153,0.41689,0.20454,2.6732,0,0.20873,3.0285,0
1039,14.556,26.816,0,399,200,0.38402,0.19249,146,0.14052,0.23477,3.5982,0,0.24954,4.4959,0
1645,15.87,121.24,0,725,353,0.44073,0.21459,240,0.1459,0.34031,48.21,0,0.35167,45.901,0
1411,11.356,31.192,0,315,554,0.22325,0.39263,385,0.27286,0.22348,2.1978,0,0.23028,4.6944,0
