time,avg_speed,max_speed,min_speed,time_fast,time_slow,percent_fast,percent_slow,stops,percent_stop,avg_acc,max_acc,min_acc,avg_dec,max_dec,min_dec
261,0.28903,2.1213,0,0,261,0,1,209,0.80077,0.062021,0.87321,0,0.062599,0.71063,0
408,7.3488,20.977,0,7,155,0.017157,0.3799,95,0.23284,0.23792,1.8505,0,0.25064,3.3989,0
612,7.6757,20.241,0,2,156,0.003268,0.2549,84,0.13725,0.15873,2.3183,0,0.15925,2.5759,0
310,10.567,24.413,0,82,121,0.26452,0.39032,98,0.31613,0.13751,1.599,0,0.18932,3.2494,0
632,10.769,20.409,0,3,87,0.0047468,0.13766,54,0.085443,0.14188,1.343,0,0.1544,1.6253,0
571,6.2912,17.109,0,0,180,0,0.31524,82,0.14361,0.14561,1.9549,0,0.14561,2.0614,0
250,4.7101,11.183,0,0,92,0,0.368,60,0.24,0.087082,0.78253,0,0.13205,1.4528,0
269,12.908,26.239,0,80,76,0.2974,0.28253,61,0.22677,0.18426,2.3519,0,0.19199,2.4267,0
257,8.3483,18.597,0,0,72,0,0.28016,54,0.21012,0.15468,1.2952,0,0.16683,1.6765,0
177,0.43201,5.7315,0,0,170,0,0.96045,144,0.81356,0.054428,1.5805,0,0.090201,1.6483,0
1251,9.9645,21.759,0,57,402,0.045564,0.32134,324,0.25899,0.17581,3.176,0,0.18915,9.2957,0
1540,13.554,24.45,0,183,119,0.11883,0.077273,81,0.052597,0.15439,1.9008,0,0.15907,2.978,0
203,3.2264,12.637,0,0,142,0,0.69951,92,0.4532,0.18422,3.4174,0,0.18457,1.8606,0
524,13.073,27.34,0,176,151,0.33588,0.28817,105,0.20038,0.25869,2.2087,0,0.29067,4.3356,0
181,2.1213,47.079,0,1,167,0.0055249,0.92265,32,0.1768,0.32985,20.802,0,0.34402,19.058,0
599,8.2346,17.263,0,0,103,0,0.17195,62,0.10351,0.12827,2.499,0,0.12965,2.0771,0
1500,13.663,22.322,0,125,73,0.083333,0.048667,57,0.038,0.13739,1.9169,0,0.14957,2.4892,0
306,11.199,23.031,0,82,97,0.26797,0.31699,48,0.15686,0.15891,1.3847,0,0.16143,2.0351,0
180,0.21612,1.3,0,0,180,0,1,147,0.81667,0.052707,0.55828,0,0.058496,0.62801,0
703,11.632,20.353,0,3,71,0.0042674,0.101,50,0.071124,0.20749,2.5798,0,0.21511,3.6008,0
1525,12.134,26.343,0,99,151,0.064918,0.099016,59,0.038689,0.13237,2.0777,0,0.14675,3.0604,0
260,13.029,25.185,0,81,65,0.31154,0.25,41,0.15769,0.20196,3.7282,0,0.22037,3.4988,0
464,17.797,1021.4,0,151,93,0.32543,0.20043,52,0.11207,2.0449,508.3,0,2.0472,500.86,0
1554,13.519,27.242,0,140,117,0.09009,0.07529,85,0.054698,0.15536,2.6273,0,0.15846,3.2514,0
286,11.559,24.597,0,82,100,0.28671,0.34965,54,0.18881,0.15155,1.6774,0,0.20402,2.4062,0
1384,5.7175,22.855,0,39,641,0.028179,0.46315,440,0.31792,0.19963,2.1753,0,0.19973,3.239,0
572,8.7083,17.254,0,0,147,0,0.25699,97,0.16958,0.14527,1.5642,0,0.14563,1.7753,0
498,8.2731,16.473,0,0,97,0,0.19478,57,0.11446,0.17387,3.6451,0,0.17772,3.4526,0
550,11.452,19.425,0,0,71,0,0.12909,56,0.10182,0.12974,1.5519,0,0.15481,2.251,0
1417,12.618,22.761,0,258,272,0.18207,0.19195,169,0.11927,0.17795,2.1217,0,0.18135,2.2609,0
1038,14.298,24.151,0,306,126,0.2948,0.12139,70,0.067437,0.1908,2.585,0,0.19552,2.5965,0
1665,12.575,24.312,0,183,226,0.10991,0.13574,163,0.097898,0.16632,4.3174,0,0.16939,3.8855,0
1423,14.618,25.516,0,310,121,0.21785,0.085032,83,0.058327,0.1659,2.6406,0,0.1715,4.9906,0
1425,12.772,23.887,0,146,143,0.10246,0.10035,85,0.059649,0.16757,1.8057,0,0.18308,3.0152,0
770,8.1381,18.481,0,0,224,0,0.29091,135,0.17532,0.16549,1.9723,0,0.17355,3.1851,0
262,13.089,24.858,0,82,63,0.31298,0.24046,37,0.14122,0.18764,1.5585,0,0.20013,2.6706,0
1577,13.275,23.42,0,187,114,0.11858,0.072289,74,0.046925,0.15846,2.1696,0,0.16123,2.0689,0
249,13.185,26.462,0,81,65,0.3253,0.26104,46,0.18474,0.14718,1.2988,0,0.18979,2.3475,0
248,12.735,24.247,0,90,76,0.3629,0.30645,45,0.18145,0.14809,1.8049,0,0.20844,3.6298,0
684,10.985,17.907,0,0,78,0,0.11404,56,0.081871,0.16065,2.1029,0,0.17242,1.6889,0
890,14.035,22.268,0,93,129,0.10449,0.14494,114,0.12809,0.17437,2.5804,0,0.18719,2.6397,0
240,9.8912,14.822,0,0,23,0,0.095833,16,0.066667,0.22533,1.9479,0,0.2693,6.8768,0
911,8.3681,26.618,0,81,447,0.088913,0.49067,203,0.22283,0.15555,4.9882,0,0.17487,4.3939,0
1617,12.938,27.33,0,209,142,0.12925,0.087817,75,0.046382,0.15912,2.3171,0,0.15994,3.0668,0
